actor_id,actor
262,Nick Broomfield
263,Nina Xining Zuo
264,Madam Alex
265,John Cusack
266,Luke Wilson
267,Owen Wilson
268,Ned Dowd
269,Ellen DeGeneres
270,Bill Pullman
271,Joan Cusack
272,Ray Liotta
273,Linda Fiorentino
274,Peter Coyote
275,Adam Sandler
276,Christopher McDonald
277,Julie Bowen
278,Clint Eastwood
279,Meryl Streep
280,Annie Corley
281,Maria Schrader
282,Pierre Sanoussi-Bliss
283,Michael von Au
284,Tim Curry
285,Billy Connolly
286,Jennifer Saunders
287,Christy Turlington
288,Azzedine Alaïa
289,Giorgio Armani
290,Rustam Branaman
291,Jennifer MacDonald
292,James Robinson
293,Sean Lawlor
294,Sandy Nelson
295,Jodie Foster
296,Cybill Shepherd
297,Jackie Chan
298,Anita Mui
299,Françoise Yip
300,Liam Neeson
301,Edward Furlong
302,Helena Bonham Carter
303,Kate Nelligan
304,Clive Russell
305,Michel Serrault
306,Eddy Mitchell
307,Sabine Azéma
308,Glenn Close
309,Isa Baschwitz
310,Hugh O'Conor
311,Antony Sher
312,Tobias Arnold
313,Sarah Jessica Parker
314,Eric Schaeffer
315,Ben Stiller
316,Alan Arkin
317,Rachel Ticotin
318,Halle Berry
319,Jim Belushi
320,Bill Hunter
321,Robin Givens
322,Brigitte Lin
323,Tony Leung Chiu-wai
324,Faye Wong
325,Sergio Castellitto
326,Tiziana Lodato
327,Franco Scaldati
328,Patricia Arquette
329,Téa Leoni
330,Jason James Richter
331,Melody Kay
332,Jack Black
333,Josh Charles
334,Anne Heche
335,John Goodman
336,Miranda Rhyne
337,Charlotte Eve Blythe
338,Anna Thomson
339,Anne Parillaud
340,David Caruso
341,Luisito Martí
342,Caridad Ravelo
343,Raúl Carbonell
344,Lloyd Dunn
345,Chris Grigg
346,Mark Hosler
347,Kelsey Grammer
348,Lauren Holly
349,Rob Schneider
350,Mary Beth Hurt
351,Jean Seberg
352,Vivian Paxton
353,Claudette Sutherland
354,Michael Ornstein
355,Jacob Tierney
356,Drake Bell
357,Gena Rowlands
358,Mohan Agashe
359,Barun Chakraborty
360,Champa
361,Johnnie Black
362,Paul Cox
363,John Decker
364,Dejana
365,Nathan Lane
366,Ned Beatty
367,Mia Sara
368,Michael Madsen
369,Michael York
370,Morgan Fairchild
371,Jack Mulcahy
372,Michael McGlone
373,Edward Burns
374,Lisa Boyle
375,Michael Taliferro
376,Emmanuel Xuereb
377,Stephen Lang
378,Ryan Slater
379,Yi Ding
380,Leonardo DiCaprio
381,Lorraine Bracco
382,Marilyn Sokol
383,Hugh Grant
384,Alan Rickman
385,Georgina Cates
386,Isabelle Huppert
387,Martin Donovan
388,Elina Löwensohn
389,Bill Paxton
390,Jessica Lange
391,John Hurt
392,Lili Taylor
393,Annabella Sciorra
394,Tommy Lee Jones
395,Catherine Deneuve
396,Jean Sorel
397,Michel Piccoli
398,U Aung Ko
399,Frances McDormand
400,Lou Reed
401,Michael J. Fox
402,Cathy Moriarty
403,John Turturro
404,Delroy Lindo
405,Laura Linney
406,Dylan Walsh
407,Denzel Washington
408,Matt Craven
409,Robert Crumb
410,Aline Kominsky-Crumb
411,Charles Crumb
412,Salma Hayek
413,Joaquim de Almeida
414,Tom Sizemore
415,Jennifer Beals
416,Bruce Willis
417,Jeremy Irons
418,Samuel L. Jackson
419,James Duval
420,Rose McGowan
421,Johnathon Schaech
422,Embeth Davidtz
423,Tom Bell
424,Gemma Jones
425,Sean Connery
426,Richard Gere
427,Francis Capra
428,Jonny Lee Miller
429,Angelina Jolie
430,Jesse Bradford
431,Steven Weber
432,Peter Jacobson
433,Tom Cayler
434,Keanu Reeves
435,Dolph Lundgren
436,Dina Meyer
437,Armand Assante
438,Tia Carrere
439,Stanley Tucci
440,Leo Fitzpatrick
441,Justin Pierce
442,Chloë Sevigny
443,Steve Buscemi
444,Catherine Keener
445,Scott Bakula
446,Kevin J. O'Connor
447,J. Trevor Edmond
448,Chris O'Donnell
449,Drew Barrymore
450,Matthew Lillard
451,Shannen Doherty
452,Jeremy London
453,Jason Lee
454,Karan Ashley
455,Johnny Yong Bosch
456,Steve Cardenas
