stage,k,n_users_eval,recall,ndcg,experiment_stage,stage_string,removed_feature,removed_feature_ru,feature_set,threshold,min_pos,recall_all_context,ndcg_all_context,recall_delta_vs_all_context,recall_removed_feature_contribution,ndcg_delta_vs_all_context,ndcg_removed_feature_contribution
directors_actors_countries,20,5614,0.14919122145829536,0.09972882386586289,without_genres,directors_actors_countries,genres,Жанры,"directors, actors, countries",5.0,5,0.15182792189117414,0.09977023113065438,-0.00263670043287878,0.00263670043287878,-4.14072647914876e-05,4.14072647914876e-05
genres_actors_countries,20,5614,0.15029972635084504,0.10069403661983402,without_directors,genres_actors_countries,directors,Режиссёры,"genres, actors, countries",5.0,5,0.15182792189117414,0.09977023113065438,-0.001528195540329097,0.001528195540329097,0.000923805489179641,-0.000923805489179641
genres_directors_countries,20,5614,0.14342061125756073,0.0961891626810486,without_actors,genres_directors_countries,actors,Актёры,"genres, directors, countries",5.0,5,0.15182792189117414,0.09977023113065438,-0.008407310633613413,0.008407310633613413,-0.003581068449605776,0.003581068449605776
genres_directors_actors,20,5614,0.15161239273697902,0.10167978012841807,without_countries,genres_directors_actors,countries,Страны,"genres, directors, actors",5.0,5,0.15182792189117414,0.09977023113065438,-0.00021552915419512098,0.00021552915419512098,0.0019095489977636881,-0.0019095489977636881
