stage,threshold,min_pos,k,context_feature,recall,ndcg,n_users_eval
actors,5.0,5,20,actors,0.1459186198297817,0.0973626084706381,5614
age_group,5.0,5,20,age_group,0.1397240641691289,0.0947050519197863,5614
countries,5.0,5,20,countries,0.1482342910223209,0.0985458579144631,5614
directors,5.0,5,20,directors,0.1479364638121863,0.0988769247593325,5614
genres,5.0,5,20,genres,0.146261537911656,0.0969107278110097,5614
occupation,5.0,5,20,occupation,0.1445252438710262,0.09700733158400929,5614
raw,5.0,5,20,raw,0.1450993271783791,0.0971557903534897,5614
tags,5.0,5,20,tags,0.149106107309207,0.0989046137378614,5614
