threshold,min_pos,k,metric,removed_feature,removed_feature_ru,all_context_value,without_feature_value,delta_vs_all_context,removed_feature_contribution
5.0,5,20,recall,genres,Жанры,0.15182792189117414,0.14919122145829536,-0.00263670043287878,0.00263670043287878
5.0,5,20,ndcg,genres,Жанры,0.09977023113065438,0.09972882386586289,-4.14072647914876e-05,4.14072647914876e-05
5.0,5,20,recall,directors,Режиссёры,0.15182792189117414,0.15029972635084504,-0.001528195540329097,0.001528195540329097
5.0,5,20,ndcg,directors,Режиссёры,0.09977023113065438,0.10069403661983402,0.000923805489179641,-0.000923805489179641
5.0,5,20,recall,actors,Актёры,0.15182792189117414,0.14342061125756073,-0.008407310633613413,0.008407310633613413
5.0,5,20,ndcg,actors,Актёры,0.09977023113065438,0.0961891626810486,-0.003581068449605776,0.003581068449605776
5.0,5,20,recall,countries,Страны,0.15182792189117414,0.15161239273697902,-0.00021552915419512098,0.00021552915419512098
5.0,5,20,ndcg,countries,Страны,0.09977023113065438,0.10167978012841807,0.0019095489977636881,-0.0019095489977636881
